x,sin_x,ann_x
-6.025,0.493727,-0.0273197
-6,0.536573,-0.0277976
-5.975,0.578077,-0.0282695
-5.95,0.618137,-0.0287355
-5.925,0.656652,-0.0291956
-5.9,0.693525,-0.0296497
-5.875,0.728665,-0.0300978
-5.85,0.761984,-0.03054
-5.825,0.793398,-0.0309763
-5.8,0.822829,-0.0314066
-5.775,0.850203,-0.031831
-5.75,0.875452,-0.0322494
-5.725,0.898513,-0.032662
-5.7,0.919329,-0.0330685
-5.675,0.937846,-0.0334691
-5.65,0.954019,-0.0338638
-5.625,0.967808,-0.0342526
-5.6,0.979178,-0.0346354
-5.575,0.9881,-0.0350123
-5.55,0.994553,-0.0353833
-5.525,0.998519,-0.0357484
-5.5,0.99999,-0.0361076
-5.475,0.998962,-0.0364608
-5.45,0.995436,-0.0368081
-5.425,0.989423,-0.0371496
-5.4,0.980936,-0.0374851
-5.375,0.969998,-0.0378147
-5.35,0.956635,-0.0381385
-5.325,0.940881,-0.0384564
-5.3,0.922775,-0.0387683
-5.275,0.902363,-0.0390745
-5.25,0.879696,-0.0393747
-5.225,0.854829,-0.0396691
-5.2,0.827826,-0.0399576
-5.175,0.798754,-0.0402403
-5.15,0.767686,-0.0405171
-5.125,0.734698,-0.0407881
-5.1,0.699875,-0.0410533
-5.075,0.663302,-0.0413126
-5.05,0.625071,-0.0415661
-5.025,0.585277,-0.0418138
-5,0.544021,-0.0420557
-4.975,0.501405,-0.0422919
-4.95,0.457536,-0.0425222
-4.925,0.412523,-0.0427468
-4.9,0.366479,-0.0429656
-4.875,0.319519,-0.0431786
-4.85,0.271761,-0.0433859
-4.825,0.223323,-0.0435874
-4.8,0.174327,-0.0437832
-4.775,0.124895,-0.0439733
-4.75,0.0751511,-0.0441577
-4.725,0.0252194,-0.0443364
-4.7,-0.0247754,-0.0445094
-4.675,-0.0747083,-0.0446768
-4.65,-0.124454,-0.0448384
-4.625,-0.173889,-0.0449944
-4.6,-0.22289,-0.0451448
-4.575,-0.271333,-0.0452895
-4.55,-0.319098,-0.0454286
-4.525,-0.366066,-0.0455621
-4.5,-0.412118,-0.04569
-4.475,-0.457141,-0.0458123
-4.45,-0.501021,-0.0459291
-4.425,-0.543648,-0.0460403
-4.4,-0.584917,-0.0461459
-4.375,-0.624724,-0.046246
-4.35,-0.662969,-0.0463406
-4.325,-0.699557,-0.0464297
-4.3,-0.734397,-0.0465133
-4.275,-0.767401,-0.0465915
-4.25,-0.798487,-0.0466642
-4.225,-0.827577,-0.0467314
-4.2,-0.854599,-0.0467932
-4.175,-0.879484,-0.0468496
-4.15,-0.902172,-0.0469006
-4.125,-0.922604,-0.0469462
-4.1,-0.940731,-0.0469864
-4.075,-0.956506,-0.0470213
-4.05,-0.96989,-0.0470509
-4.025,-0.98085,-0.0470751
-4,-0.989358,-0.0470941
-3.975,-0.995394,-0.0471078
-3.95,-0.998941,-0.0471162
-3.925,-0.999992,-0.0471193
-3.9,-0.998543,-0.0471173
-3.875,-0.994599,-0.04711
-3.85,-0.988168,-0.0470975
-3.825,-0.979268,-0.0470799
-3.8,-0.96792,-0.0470571
-3.775,-0.954152,-0.0470292
-3.75,-0.938,-0.0469961
-3.725,-0.919503,-0.046958
-3.7,-0.898708,-0.0469148
-3.675,-0.875667,-0.0468665
-3.65,-0.850437,-0.0468132
-3.625,-0.823081,-0.0467549
-3.6,-0.793668,-0.0466916
-3.575,-0.762271,-0.0466234
-3.55,-0.728969,-0.0465501
-3.525,-0.693845,-0.046472
-3.5,-0.656987,-0.0463889
-3.475,-0.618486,-0.046301
-3.45,-0.57844,-0.0462082
-3.425,-0.536948,-0.0461106
-3.4,-0.494113,-0.0460081
-3.375,-0.450044,-0.0459009
-3.35,-0.40485,-0.0457888
-3.325,-0.358644,-0.0456721
-3.3,-0.311541,-0.0455506
-3.275,-0.26366,-0.0454244
-3.25,-0.21512,-0.0452935
-3.225,-0.166042,-0.045158
-3.2,-0.116549,-0.0450178
-3.175,-0.066765,-0.0448731
-3.15,-0.0168139,-0.0447238
-3.125,0.0331792,-0.0445699
-3.1,0.0830894,-0.0444115
-3.075,0.132792,-0.0442486
-3.05,0.182163,-0.0440812
-3.025,0.231078,-0.0439094
-3,0.279415,-0.0437332
-2.975,0.327055,-0.0435525
-2.95,0.373877,-0.0433675
-2.925,0.419764,-0.0431782
-2.9,0.464602,-0.0429845
-2.875,0.508279,-0.0427866
-2.85,0.550686,-0.0425844
-2.825,0.591716,-0.0423779
-2.8,0.631267,-0.0421673
-2.775,0.66924,-0.0419525
-2.75,0.70554,-0.0417335
-2.725,0.740077,-0.0415105
-2.7,0.772764,-0.0412833
-2.675,0.80352,-0.0410521
-2.65,0.832267,-0.0408168
-2.625,0.858934,-0.0405776
-2.6,0.883455,-0.0403344
-2.575,0.905767,-0.0400872
-2.55,0.925815,-0.0398361
-2.525,0.943549,-0.0395812
-2.5,0.958924,-0.0393224
-2.475,0.971903,-0.0390598
-2.45,0.982453,-0.0387934
-2.425,0.990547,-0.0385232
-2.4,0.996165,-0.0382493
-2.375,0.999293,-0.0379717
-2.35,0.999923,-0.0376905
-2.325,0.998054,-0.0374057
-2.3,0.993691,-0.0371172
-2.275,0.986844,-0.0368252
-2.25,0.97753,-0.0365296
-2.225,0.965773,-0.0362306
-2.2,0.951602,-0.035928
-2.175,0.935053,-0.0356221
-2.15,0.916166,-0.0353127
-2.125,0.894989,-0.035
-2.1,0.871576,-0.034684
-2.075,0.845984,-0.0343646
